epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96815,0,67.7457,0,0,0,0,0,0,48.671,0,2e-05,2e-05,2e-05
2,16.0917,0,67.5667,0,0,0,0,0,0,48.7385,0,5.406e-05,5.406e-05,5.406e-05
3,23.8782,0,66.7326,0,0,0,0,0,0,48.7838,0,8.02e-05,8.02e-05,8.02e-05
4,34.9661,0,65.9806,0,0,0,0,0,0,48.7898,0,9.842e-05,9.842e-05,9.842e-05
5,43.8875,0,65.2986,0,0,0,0,0,0,48.81,0,0.00010872,0.00010872,0.00010872
6,52.9613,0,64.7313,0,0,0,0,0,0,48.8559,0,0.0001111,0.0001111,0.0001111
7,61.9091,0,64.3202,0,0,0,0,0,0,48.9342,0,0.00010556,0.00010556,0.00010556
8,75.9876,0,63.5481,0,0,0,0,0,0,49.0154,0,9.21e-05,9.21e-05,9.21e-05
9,95.0549,0,62.8832,0,0,0,0,0,0,49.047,0,7.072e-05,7.072e-05,7.072e-05
10,114.031,0,62.6232,0,0,0,0,0,0,49.0612,0,4.142e-05,4.142e-05,4.142e-05
